fname,method,aopc
NORMAL2-IM-0246-0001-0001,gradcam,0.1656
NORMAL2-IM-0246-0001-0001,shap,0.3514
NORMAL2-IM-0246-0001-0002,gradcam,0.1656
NORMAL2-IM-0246-0001-0002,shap,0.3567
NORMAL2-IM-0246-0001,gradcam,0.1228
NORMAL2-IM-0246-0001,shap,0.2099
NORMAL2-IM-0249-0001,gradcam,0.07
NORMAL2-IM-0249-0001,shap,0.2573
NORMAL2-IM-0251-0001,gradcam,0.1596
NORMAL2-IM-0251-0001,shap,0.3395
NORMAL2-IM-0252-0001,gradcam,0.0649
NORMAL2-IM-0252-0001,shap,0.0544
NORMAL2-IM-0256-0001,gradcam,0.0825
NORMAL2-IM-0256-0001,shap,0.1505
NORMAL2-IM-0259-0001,gradcam,0.1794
NORMAL2-IM-0259-0001,shap,0.276
NORMAL2-IM-0267-0001,gradcam,0.1784
NORMAL2-IM-0267-0001,shap,0.2326
NORMAL2-IM-0271-0001,gradcam,0.0961
NORMAL2-IM-0271-0001,shap,0.178
NORMAL2-IM-0272-0001,gradcam,0.0769
NORMAL2-IM-0272-0001,shap,0.2142
NORMAL2-IM-0273-0001,gradcam,0.1924
NORMAL2-IM-0273-0001,shap,0.2933
NORMAL2-IM-0274-0001,gradcam,0.195
NORMAL2-IM-0274-0001,shap,0.3096
NORMAL2-IM-0275-0001,gradcam,0.068
NORMAL2-IM-0275-0001,shap,0.2222
NORMAL2-IM-0276-0001,gradcam,0.19
NORMAL2-IM-0276-0001,shap,0.2785
NORMAL2-IM-0277-0001,gradcam,0.1763
NORMAL2-IM-0277-0001,shap,0.3226
NORMAL2-IM-0278-0001,gradcam,0.118
NORMAL2-IM-0278-0001,shap,0.2928
NORMAL2-IM-0279-0001,gradcam,0.1454
NORMAL2-IM-0279-0001,shap,0.2574
NORMAL2-IM-0280-0001,gradcam,0.127
NORMAL2-IM-0280-0001,shap,0.2614
NORMAL2-IM-0281-0001,gradcam,0.1444
NORMAL2-IM-0281-0001,shap,0.2633
NORMAL2-IM-0282-0001,gradcam,0.1692
NORMAL2-IM-0282-0001,shap,0.2768
NORMAL2-IM-0283-0001,gradcam,0.074
NORMAL2-IM-0283-0001,shap,0.2368
NORMAL2-IM-0285-0001,gradcam,0.1397
NORMAL2-IM-0285-0001,shap,0.2133
NORMAL2-IM-0286-0001,gradcam,0.1173
NORMAL2-IM-0286-0001,shap,0.2539
NORMAL2-IM-0287-0001,gradcam,0.1772
NORMAL2-IM-0287-0001,shap,0.2555
NORMAL2-IM-0288-0001,gradcam,0.1139
NORMAL2-IM-0288-0001,shap,0.2107
NORMAL2-IM-0289-0001,gradcam,0.0919
NORMAL2-IM-0289-0001,shap,0.253
NORMAL2-IM-0290-0001,gradcam,0.1531
NORMAL2-IM-0290-0001,shap,0.2441
NORMAL2-IM-0292-0001,gradcam,0.2195
NORMAL2-IM-0292-0001,shap,0.235
NORMAL2-IM-0294-0001,gradcam,0.1408
NORMAL2-IM-0294-0001,shap,0.2331
NORMAL2-IM-0297-0001,gradcam,0.0639
NORMAL2-IM-0297-0001,shap,0.1698
NORMAL2-IM-0300-0001,gradcam,0.1168
NORMAL2-IM-0300-0001,shap,0.262
NORMAL2-IM-0301-0001,gradcam,0.1883
NORMAL2-IM-0301-0001,shap,0.3177
NORMAL2-IM-0302-0001,gradcam,0.1515
NORMAL2-IM-0302-0001,shap,0.4074
NORMAL2-IM-0303-0001,gradcam,0.1755
NORMAL2-IM-0303-0001,shap,0.2639
NORMAL2-IM-0304-0001,gradcam,0.1882
NORMAL2-IM-0304-0001,shap,0.1731
NORMAL2-IM-0305-0001,gradcam,0.1366
NORMAL2-IM-0305-0001,shap,0.2952
NORMAL2-IM-0307-0001,gradcam,0.1807
NORMAL2-IM-0307-0001,shap,0.2749
NORMAL2-IM-0309-0001,gradcam,0.1737
NORMAL2-IM-0309-0001,shap,0.2448
NORMAL2-IM-0310-0001,gradcam,0.0673
NORMAL2-IM-0310-0001,shap,0.2476
NORMAL2-IM-0311-0001,gradcam,0.2148
NORMAL2-IM-0311-0001,shap,0.3627
NORMAL2-IM-0312-0001,gradcam,0.1083
NORMAL2-IM-0312-0001,shap,0.2371
NORMAL2-IM-0313-0001,gradcam,0.1305
NORMAL2-IM-0313-0001,shap,0.3641
NORMAL2-IM-0315-0001,gradcam,0.0352
NORMAL2-IM-0315-0001,shap,0.1817
NORMAL2-IM-0316-0001,gradcam,0.2127
NORMAL2-IM-0316-0001,shap,0.251
NORMAL2-IM-0317-0001,gradcam,0.1024
NORMAL2-IM-0317-0001,shap,0.2816
NORMAL2-IM-0319-0001,gradcam,0.1916
NORMAL2-IM-0319-0001,shap,0.3329
NORMAL2-IM-0321-0001,gradcam,0.1877
NORMAL2-IM-0321-0001,shap,0.3172
NORMAL2-IM-0322-0001,gradcam,0.1165
NORMAL2-IM-0322-0001,shap,0.3778
NORMAL2-IM-0323-0001,gradcam,0.1367
NORMAL2-IM-0323-0001,shap,0.1543
NORMAL2-IM-0325-0001,gradcam,0.1271
NORMAL2-IM-0325-0001,shap,0.2653
NORMAL2-IM-0326-0001,gradcam,0.1677
